model name is decoder 
queue 14.39 s, infer 25.45 s, input 38.95 s, output 14.29 s 
Batch_size 1 , 26248 times, infer 5388.86   ms, avg 0.21 ms, 0.21 ms input 8295.41   ms, avg 0.32 ms, output 3089.10   ms, avg 0.12 ms 
Batch_size 46, 1     times, infer 56.29     ms, avg 56.29 ms, 1.22 ms input 0.47      ms, avg 0.47 ms, output 0.51      ms, avg 0.51 ms 
Batch_size 49, 1     times, infer 37.01     ms, avg 37.01 ms, 0.76 ms input 0.58      ms, avg 0.58 ms, output 0.52      ms, avg 0.52 ms 
Batch_size 54, 2     times, infer 91.21     ms, avg 45.60 ms, 0.84 ms input 1.12      ms, avg 0.56 ms, output 1.28      ms, avg 0.64 ms 
Batch_size 56, 1     times, infer 40.08     ms, avg 40.08 ms, 0.72 ms input 0.75      ms, avg 0.75 ms, output 0.70      ms, avg 0.70 ms 
Batch_size 77, 1     times, infer 29.40     ms, avg 29.40 ms, 0.38 ms input 0.96      ms, avg 0.96 ms, output 6.39      ms, avg 6.39 ms 
model name is joiner 
queue 15.71 s, infer 14.93 s, input 97.96 s, output 12.34 s 
Batch_size 1 , 26119 times, infer 3198.49   ms, avg 0.12 ms, 0.12 ms input 20707.10  ms, avg 0.79 ms, output 2634.92   ms, avg 0.10 ms 
Batch_size 2 , 16692 times, infer 2327.10   ms, avg 0.14 ms, 0.07 ms input 14037.49  ms, avg 0.84 ms, output 1912.92   ms, avg 0.11 ms 
Batch_size 3 , 10470 times, infer 1483.17   ms, avg 0.14 ms, 0.05 ms input 9642.79   ms, avg 0.92 ms, output 1258.87   ms, avg 0.12 ms 
Batch_size 4 , 8540  times, infer 1252.45   ms, avg 0.15 ms, 0.04 ms input 8451.68   ms, avg 0.99 ms, output 1047.02   ms, avg 0.12 ms 
Batch_size 5 , 6129  times, infer 885.20    ms, avg 0.14 ms, 0.03 ms input 6358.44   ms, avg 1.04 ms, output 751.06    ms, avg 0.12 ms 
Batch_size 6 , 4805  times, infer 699.91    ms, avg 0.15 ms, 0.02 ms input 4806.63   ms, avg 1.00 ms, output 606.39    ms, avg 0.13 ms 
Batch_size 7 , 3692  times, infer 547.52    ms, avg 0.15 ms, 0.02 ms input 3574.08   ms, avg 0.97 ms, output 474.43    ms, avg 0.13 ms 
Batch_size 8 , 2977  times, infer 440.64    ms, avg 0.15 ms, 0.02 ms input 3026.67   ms, avg 1.02 ms, output 377.08    ms, avg 0.13 ms 
Batch_size 9 , 2408  times, infer 378.76    ms, avg 0.16 ms, 0.02 ms input 2667.01   ms, avg 1.11 ms, output 307.43    ms, avg 0.13 ms 
Batch_size 10, 2162  times, infer 342.68    ms, avg 0.16 ms, 0.02 ms input 2298.38   ms, avg 1.06 ms, output 261.53    ms, avg 0.12 ms 
Batch_size 11, 1839  times, infer 284.50    ms, avg 0.15 ms, 0.01 ms input 1900.30   ms, avg 1.03 ms, output 232.17    ms, avg 0.13 ms 
Batch_size 12, 1566  times, infer 248.09    ms, avg 0.16 ms, 0.01 ms input 1676.01   ms, avg 1.07 ms, output 189.47    ms, avg 0.12 ms 
Batch_size 13, 1408  times, infer 212.93    ms, avg 0.15 ms, 0.01 ms input 1561.66   ms, avg 1.11 ms, output 162.28    ms, avg 0.12 ms 
Batch_size 14, 1212  times, infer 189.33    ms, avg 0.16 ms, 0.01 ms input 1225.20   ms, avg 1.01 ms, output 147.68    ms, avg 0.12 ms 
Batch_size 15, 1082  times, infer 168.84    ms, avg 0.16 ms, 0.01 ms input 1122.41   ms, avg 1.04 ms, output 123.69    ms, avg 0.11 ms 
Batch_size 16, 952   times, infer 135.89    ms, avg 0.14 ms, 0.01 ms input 1029.25   ms, avg 1.08 ms, output 114.09    ms, avg 0.12 ms 
Batch_size 17, 894   times, infer 145.10    ms, avg 0.16 ms, 0.01 ms input 910.76    ms, avg 1.02 ms, output 107.87    ms, avg 0.12 ms 
Batch_size 18, 786   times, infer 124.39    ms, avg 0.16 ms, 0.01 ms input 912.80    ms, avg 1.16 ms, output 99.51     ms, avg 0.13 ms 
Batch_size 19, 756   times, infer 114.77    ms, avg 0.15 ms, 0.01 ms input 810.44    ms, avg 1.07 ms, output 92.61     ms, avg 0.12 ms 
Batch_size 20, 641   times, infer 97.75     ms, avg 0.15 ms, 0.01 ms input 627.63    ms, avg 0.98 ms, output 74.52     ms, avg 0.12 ms 
Batch_size 21, 593   times, infer 92.14     ms, avg 0.16 ms, 0.01 ms input 583.23    ms, avg 0.98 ms, output 77.76     ms, avg 0.13 ms 
Batch_size 22, 580   times, infer 85.79     ms, avg 0.15 ms, 0.01 ms input 596.53    ms, avg 1.03 ms, output 64.93     ms, avg 0.11 ms 
Batch_size 23, 546   times, infer 84.48     ms, avg 0.15 ms, 0.01 ms input 567.65    ms, avg 1.04 ms, output 65.26     ms, avg 0.12 ms 
Batch_size 24, 517   times, infer 80.81     ms, avg 0.16 ms, 0.01 ms input 589.07    ms, avg 1.14 ms, output 66.90     ms, avg 0.13 ms 
Batch_size 25, 486   times, infer 75.76     ms, avg 0.16 ms, 0.01 ms input 506.81    ms, avg 1.04 ms, output 55.69     ms, avg 0.11 ms 
Batch_size 26, 454   times, infer 71.25     ms, avg 0.16 ms, 0.01 ms input 510.92    ms, avg 1.13 ms, output 52.52     ms, avg 0.12 ms 
Batch_size 27, 503   times, infer 76.89     ms, avg 0.15 ms, 0.01 ms input 571.30    ms, avg 1.14 ms, output 68.47     ms, avg 0.14 ms 
Batch_size 28, 461   times, infer 73.73     ms, avg 0.16 ms, 0.01 ms input 580.47    ms, avg 1.26 ms, output 56.33     ms, avg 0.12 ms 
Batch_size 29, 433   times, infer 67.22     ms, avg 0.16 ms, 0.01 ms input 457.84    ms, avg 1.06 ms, output 53.89     ms, avg 0.12 ms 
Batch_size 30, 422   times, infer 68.24     ms, avg 0.16 ms, 0.01 ms input 453.32    ms, avg 1.07 ms, output 54.75     ms, avg 0.13 ms 
Batch_size 31, 438   times, infer 68.99     ms, avg 0.16 ms, 0.01 ms input 458.04    ms, avg 1.05 ms, output 62.01     ms, avg 0.14 ms 
Batch_size 32, 414   times, infer 65.58     ms, avg 0.16 ms, 0.00 ms input 517.16    ms, avg 1.25 ms, output 53.91     ms, avg 0.13 ms 
Batch_size 33, 341   times, infer 54.87     ms, avg 0.16 ms, 0.00 ms input 316.63    ms, avg 0.93 ms, output 46.22     ms, avg 0.14 ms 
Batch_size 34, 369   times, infer 55.99     ms, avg 0.15 ms, 0.00 ms input 383.37    ms, avg 1.04 ms, output 48.61     ms, avg 0.13 ms 
Batch_size 35, 342   times, infer 49.23     ms, avg 0.14 ms, 0.00 ms input 308.49    ms, avg 0.90 ms, output 43.28     ms, avg 0.13 ms 
Batch_size 36, 361   times, infer 54.40     ms, avg 0.15 ms, 0.00 ms input 410.83    ms, avg 1.14 ms, output 45.87     ms, avg 0.13 ms 
Batch_size 37, 295   times, infer 44.63     ms, avg 0.15 ms, 0.00 ms input 268.93    ms, avg 0.91 ms, output 35.84     ms, avg 0.12 ms 
Batch_size 38, 290   times, infer 39.56     ms, avg 0.14 ms, 0.00 ms input 254.66    ms, avg 0.88 ms, output 37.62     ms, avg 0.13 ms 
Batch_size 39, 293   times, infer 46.64     ms, avg 0.16 ms, 0.00 ms input 275.42    ms, avg 0.94 ms, output 43.15     ms, avg 0.15 ms 
Batch_size 40, 274   times, infer 42.49     ms, avg 0.16 ms, 0.00 ms input 226.56    ms, avg 0.83 ms, output 36.22     ms, avg 0.13 ms 
Batch_size 41, 231   times, infer 38.54     ms, avg 0.17 ms, 0.00 ms input 171.14    ms, avg 0.74 ms, output 31.22     ms, avg 0.14 ms 
Batch_size 42, 199   times, infer 27.24     ms, avg 0.14 ms, 0.00 ms input 178.55    ms, avg 0.90 ms, output 21.07     ms, avg 0.11 ms 
Batch_size 43, 193   times, infer 33.74     ms, avg 0.17 ms, 0.00 ms input 178.10    ms, avg 0.92 ms, output 27.61     ms, avg 0.14 ms 
Batch_size 44, 161   times, infer 22.75     ms, avg 0.14 ms, 0.00 ms input 169.01    ms, avg 1.05 ms, output 17.69     ms, avg 0.11 ms 
Batch_size 45, 152   times, infer 24.71     ms, avg 0.16 ms, 0.00 ms input 167.05    ms, avg 1.10 ms, output 16.96     ms, avg 0.11 ms 
Batch_size 46, 142   times, infer 23.31     ms, avg 0.16 ms, 0.00 ms input 76.58     ms, avg 0.54 ms, output 21.08     ms, avg 0.15 ms 
Batch_size 47, 105   times, infer 15.26     ms, avg 0.15 ms, 0.00 ms input 103.95    ms, avg 0.99 ms, output 11.58     ms, avg 0.11 ms 
Batch_size 48, 106   times, infer 17.62     ms, avg 0.17 ms, 0.00 ms input 61.21     ms, avg 0.58 ms, output 13.55     ms, avg 0.13 ms 
Batch_size 49, 74    times, infer 12.13     ms, avg 0.16 ms, 0.00 ms input 77.12     ms, avg 1.04 ms, output 11.49     ms, avg 0.16 ms 
Batch_size 50, 57    times, infer 10.19     ms, avg 0.18 ms, 0.00 ms input 46.68     ms, avg 0.82 ms, output 7.92      ms, avg 0.14 ms 
Batch_size 51, 41    times, infer 6.95      ms, avg 0.17 ms, 0.00 ms input 22.68     ms, avg 0.55 ms, output 4.65      ms, avg 0.11 ms 
Batch_size 52, 29    times, infer 3.37      ms, avg 0.12 ms, 0.00 ms input 22.58     ms, avg 0.78 ms, output 2.96      ms, avg 0.10 ms 
Batch_size 53, 18    times, infer 1.92      ms, avg 0.11 ms, 0.00 ms input 18.99     ms, avg 1.05 ms, output 2.24      ms, avg 0.12 ms 
Batch_size 54, 8     times, infer 1.05      ms, avg 0.13 ms, 0.00 ms input 1.38      ms, avg 0.17 ms, output 0.53      ms, avg 0.07 ms 
Batch_size 55, 16    times, infer 1.90      ms, avg 0.12 ms, 0.00 ms input 20.89     ms, avg 1.31 ms, output 1.30      ms, avg 0.08 ms 
Batch_size 56, 8     times, infer 0.78      ms, avg 0.10 ms, 0.00 ms input 5.74      ms, avg 0.72 ms, output 0.80      ms, avg 0.10 ms 
Batch_size 57, 8     times, infer 1.01      ms, avg 0.13 ms, 0.00 ms input 4.72      ms, avg 0.59 ms, output 0.68      ms, avg 0.08 ms 
Batch_size 58, 6     times, infer 0.52      ms, avg 0.09 ms, 0.00 ms input 2.72      ms, avg 0.45 ms, output 0.46      ms, avg 0.08 ms 
Batch_size 59, 5     times, infer 2.52      ms, avg 0.50 ms, 0.01 ms input 2.91      ms, avg 0.58 ms, output 0.35      ms, avg 0.07 ms 
Batch_size 60, 1     times, infer 0.25      ms, avg 0.25 ms, 0.00 ms input 3.72      ms, avg 3.72 ms, output 0.04      ms, avg 0.04 ms 
Batch_size 61, 5     times, infer 0.34      ms, avg 0.07 ms, 0.00 ms input 2.04      ms, avg 0.41 ms, output 0.25      ms, avg 0.05 ms 
Batch_size 62, 5     times, infer 0.34      ms, avg 0.07 ms, 0.00 ms input 3.99      ms, avg 0.80 ms, output 0.18      ms, avg 0.04 ms 
Batch_size 63, 1     times, infer 0.25      ms, avg 0.25 ms, 0.00 ms input 0.47      ms, avg 0.47 ms, output 0.14      ms, avg 0.14 ms 
Batch_size 64, 3     times, infer 0.18      ms, avg 0.06 ms, 0.00 ms input 0.25      ms, avg 0.08 ms, output 0.17      ms, avg 0.06 ms 
Batch_size 65, 3     times, infer 0.29      ms, avg 0.10 ms, 0.00 ms input 0.22      ms, avg 0.07 ms, output 0.21      ms, avg 0.07 ms 
Batch_size 66, 2     times, infer 0.11      ms, avg 0.06 ms, 0.00 ms input 0.14      ms, avg 0.07 ms, output 0.12      ms, avg 0.06 ms 
Batch_size 67, 4     times, infer 0.58      ms, avg 0.15 ms, 0.00 ms input 0.31      ms, avg 0.08 ms, output 0.26      ms, avg 0.07 ms 
Batch_size 68, 3     times, infer 0.27      ms, avg 0.09 ms, 0.00 ms input 2.23      ms, avg 0.74 ms, output 0.11      ms, avg 0.04 ms 
Batch_size 69, 2     times, infer 0.15      ms, avg 0.08 ms, 0.00 ms input 0.20      ms, avg 0.10 ms, output 0.09      ms, avg 0.04 ms 
Batch_size 70, 1     times, infer 0.12      ms, avg 0.12 ms, 0.00 ms input 0.48      ms, avg 0.48 ms, output 0.04      ms, avg 0.04 ms 
Batch_size 72, 1     times, infer 0.12      ms, avg 0.12 ms, 0.00 ms input 5.48      ms, avg 5.48 ms, output 0.16      ms, avg 0.16 ms 
Batch_size 74, 4     times, infer 0.21      ms, avg 0.05 ms, 0.00 ms input 0.32      ms, avg 0.08 ms, output 0.13      ms, avg 0.03 ms 
Batch_size 75, 5     times, infer 0.33      ms, avg 0.07 ms, 0.00 ms input 0.42      ms, avg 0.08 ms, output 0.33      ms, avg 0.07 ms 
Batch_size 76, 2     times, infer 0.10      ms, avg 0.05 ms, 0.00 ms input 0.18      ms, avg 0.09 ms, output 0.07      ms, avg 0.03 ms 
Batch_size 77, 2     times, infer 0.13      ms, avg 0.06 ms, 0.00 ms input 0.19      ms, avg 0.10 ms, output 0.13      ms, avg 0.06 ms 
Batch_size 78, 1     times, infer 0.11      ms, avg 0.11 ms, 0.00 ms input 0.07      ms, avg 0.07 ms, output 0.17      ms, avg 0.17 ms 
Batch_size 79, 2     times, infer 0.15      ms, avg 0.08 ms, 0.00 ms input 0.16      ms, avg 0.08 ms, output 0.17      ms, avg 0.08 ms 
Batch_size 82, 1     times, infer 0.10      ms, avg 0.10 ms, 0.00 ms input 0.08      ms, avg 0.08 ms, output 0.04      ms, avg 0.04 ms 
Batch_size 84, 1     times, infer 0.07      ms, avg 0.07 ms, 0.00 ms input 0.08      ms, avg 0.08 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 86, 2     times, infer 0.11      ms, avg 0.05 ms, 0.00 ms input 0.14      ms, avg 0.07 ms, output 0.16      ms, avg 0.08 ms 
Batch_size 87, 1     times, infer 0.06      ms, avg 0.06 ms, 0.00 ms input 0.07      ms, avg 0.07 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 88, 1     times, infer 0.07      ms, avg 0.07 ms, 0.00 ms input 0.07      ms, avg 0.07 ms, output 0.14      ms, avg 0.14 ms 
Batch_size 90, 2     times, infer 0.15      ms, avg 0.07 ms, 0.00 ms input 0.36      ms, avg 0.18 ms, output 0.06      ms, avg 0.03 ms 
Batch_size 93, 1     times, infer 0.29      ms, avg 0.29 ms, 0.00 ms input 0.09      ms, avg 0.09 ms, output 0.23      ms, avg 0.23 ms 
model name is scorer 
queue 3795.90 s, infer 7463.71 s, input 49.16 s, output 24.60 s 
Batch_size 1 , 4913  times, infer 421540.90 ms, avg 85.80 ms, 85.80 ms input 1257.37   ms, avg 0.26 ms, output 539.94    ms, avg 0.11 ms 
Batch_size 2 , 2314  times, infer 237093.79 ms, avg 102.46 ms, 51.23 ms input 1038.58   ms, avg 0.45 ms, output 340.69    ms, avg 0.15 ms 
Batch_size 3 , 1333  times, infer 141237.04 ms, avg 105.95 ms, 35.32 ms input 613.01    ms, avg 0.46 ms, output 237.28    ms, avg 0.18 ms 
Batch_size 4 , 930   times, infer 103865.72 ms, avg 111.68 ms, 27.92 ms input 498.63    ms, avg 0.54 ms, output 191.93    ms, avg 0.21 ms 
Batch_size 5 , 625   times, infer 72079.94  ms, avg 115.33 ms, 23.07 ms input 348.86    ms, avg 0.56 ms, output 145.71    ms, avg 0.23 ms 
Batch_size 6 , 457   times, infer 52614.31  ms, avg 115.13 ms, 19.19 ms input 307.49    ms, avg 0.67 ms, output 114.84    ms, avg 0.25 ms 
Batch_size 7 , 349   times, infer 41712.40  ms, avg 119.52 ms, 17.07 ms input 214.36    ms, avg 0.61 ms, output 99.00     ms, avg 0.28 ms 
Batch_size 8 , 293   times, infer 37513.47  ms, avg 128.03 ms, 16.00 ms input 202.11    ms, avg 0.69 ms, output 91.43     ms, avg 0.31 ms 
Batch_size 9 , 237   times, infer 30458.39  ms, avg 128.52 ms, 14.28 ms input 189.33    ms, avg 0.80 ms, output 77.12     ms, avg 0.33 ms 
Batch_size 10, 224   times, infer 28883.90  ms, avg 128.95 ms, 12.89 ms input 171.29    ms, avg 0.76 ms, output 79.69     ms, avg 0.36 ms 
Batch_size 11, 156   times, infer 19676.35  ms, avg 126.13 ms, 11.47 ms input 145.73    ms, avg 0.93 ms, output 59.16     ms, avg 0.38 ms 
Batch_size 12, 116   times, infer 14779.34  ms, avg 127.41 ms, 10.62 ms input 97.53     ms, avg 0.84 ms, output 47.53     ms, avg 0.41 ms 
Batch_size 13, 126   times, infer 16589.30  ms, avg 131.66 ms, 10.13 ms input 120.68    ms, avg 0.96 ms, output 55.39     ms, avg 0.44 ms 
Batch_size 14, 134   times, infer 17296.91  ms, avg 129.08 ms, 9.22 ms input 144.08    ms, avg 1.08 ms, output 60.17     ms, avg 0.45 ms 
Batch_size 15, 112   times, infer 15016.54  ms, avg 134.08 ms, 8.94 ms input 112.64    ms, avg 1.01 ms, output 52.96     ms, avg 0.47 ms 
Batch_size 16, 91    times, infer 12406.87  ms, avg 136.34 ms, 8.52 ms input 96.43     ms, avg 1.06 ms, output 44.86     ms, avg 0.49 ms 
Batch_size 17, 93    times, infer 12124.90  ms, avg 130.38 ms, 7.67 ms input 114.93    ms, avg 1.24 ms, output 49.86     ms, avg 0.54 ms 
Batch_size 18, 80    times, infer 10616.83  ms, avg 132.71 ms, 7.37 ms input 74.74     ms, avg 0.93 ms, output 44.85     ms, avg 0.56 ms 
Batch_size 19, 66    times, infer 8690.92   ms, avg 131.68 ms, 6.93 ms input 67.54     ms, avg 1.02 ms, output 37.38     ms, avg 0.57 ms 
Batch_size 20, 80    times, infer 10393.19  ms, avg 129.91 ms, 6.50 ms input 73.13     ms, avg 0.91 ms, output 46.81     ms, avg 0.59 ms 
Batch_size 21, 81    times, infer 10555.50  ms, avg 130.31 ms, 6.21 ms input 67.21     ms, avg 0.83 ms, output 49.19     ms, avg 0.61 ms 
Batch_size 22, 78    times, infer 9985.22   ms, avg 128.02 ms, 5.82 ms input 91.87     ms, avg 1.18 ms, output 48.91     ms, avg 0.63 ms 
Batch_size 23, 76    times, infer 9846.06   ms, avg 129.55 ms, 5.63 ms input 90.43     ms, avg 1.19 ms, output 48.82     ms, avg 0.64 ms 
Batch_size 24, 72    times, infer 9842.04   ms, avg 136.70 ms, 5.70 ms input 80.24     ms, avg 1.11 ms, output 49.62     ms, avg 0.69 ms 
Batch_size 25, 57    times, infer 7336.50   ms, avg 128.71 ms, 5.15 ms input 68.75     ms, avg 1.21 ms, output 39.76     ms, avg 0.70 ms 
Batch_size 26, 53    times, infer 6937.27   ms, avg 130.89 ms, 5.03 ms input 56.31     ms, avg 1.06 ms, output 38.53     ms, avg 0.73 ms 
Batch_size 27, 51    times, infer 6578.26   ms, avg 128.99 ms, 4.78 ms input 64.45     ms, avg 1.26 ms, output 38.80     ms, avg 0.76 ms 
Batch_size 28, 42    times, infer 5627.98   ms, avg 134.00 ms, 4.79 ms input 55.07     ms, avg 1.31 ms, output 33.43     ms, avg 0.80 ms 
Batch_size 29, 26    times, infer 3320.37   ms, avg 127.71 ms, 4.40 ms input 26.97     ms, avg 1.04 ms, output 20.19     ms, avg 0.78 ms 
Batch_size 30, 23    times, infer 2919.65   ms, avg 126.94 ms, 4.23 ms input 31.11     ms, avg 1.35 ms, output 19.41     ms, avg 0.84 ms 
Batch_size 31, 12    times, infer 1540.72   ms, avg 128.39 ms, 4.14 ms input 16.08     ms, avg 1.34 ms, output 9.67      ms, avg 0.81 ms 
Batch_size 32, 4     times, infer 545.36    ms, avg 136.34 ms, 4.26 ms input 3.73      ms, avg 0.93 ms, output 3.23      ms, avg 0.81 ms 
model name is transducer 
queue 0.04  s, infer 11742.21 s, input 100.63 s, output 71.99 s 
Batch_size 1 , 62113 times, infer 11742212.32 ms, avg 189.05 ms, 189.05 ms input 100629.80 ms, avg 1.62 ms, output 71988.26  ms, avg 1.16 ms 
